Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2,,,,6.48148606,9.366531544,,7.698970004
CN(C)[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c3ccccc13,,,7.795880017,,,,
CN(CCCC(=O)Nc1cccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)C=Cc23)c1)C(=O)CCN4CCC(CC4)OC(=O)Nc5ccccc5c6ccccc6,,,,,,,9
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3nc(cs3)c4ccc5ccccc5c4)cc1)c6cccnc6,,,,,8.698970004,,
OC1(CNC(=O)c2ccccc2)CCN(CC1)c3nc(Oc4cccc(F)c4)cc(n3)C(F)(F)F,,,7.649751982,,,,
CN1[C@@H]2CCC1[C@H](C(C2)c3ccc(Cl)cc3)c4oc(nn4)c5ccccc5,6.031984286,7.886056648,,,,,
COc1ccc(CC(=O)Nc2ccc(cc2)c3cn4ccccc4n3)cc1,,,,,,,7.346787486
COC(=O)C1C2CCC(C[C@@H]1OC(c3ccc(F)cc3)c4ccc(F)cc4)N2,,,7.698970004,,,,
O[C@@H](CNCCc1ccc(NC(=S)Nc2cccc(Cl)c2)cc1)COc3ccccc3,,,,7,6.568636236,,7.301029996
CC(C)(C)CC(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]2CCNC2,,,4.991399828,,,,
Fc1ccc(cc1)N(CCCN2CCN(Cc3ccccc3)CC2)c4ccc(F)cc4,,7.527243551,,,,,
COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(Cl)c(C)c3)N2C,,,9.086186148,,,,
CN1C2CCC1C(=C(C2)c3ccccc3)c4ccccc4,4.669586227,6.259637311,,,,,
COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)N2C,7.22184875,9,8.958607315,,,,
