Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
CC(C)Oc1cc(ccc1C(=O)O)c2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2,,,,7.431798276,9.721246399,,
CC(C)(Cc1ccc(Oc2ccc(cn2)C(=O)N)cc1)NC[C@H](O)COc3cccc4NC(=O)C(Cc5ccccc5)(Cc6ccccc6)c34,,,,,6.571865206,,
Fc1ccc(OC(CC2CNC2)c3ccc(Cl)c(F)c3)cc1,,,6.844663963,,,,
O[C@@H](CNCCc1ccc(NC(=O)c2ccccc2n3nccn3)cc1)c4cccnc4,,,,,7.119186408,,
CN1C2CCC1C(C(C2)c3ccccc3)C(=O)OC\C=C/I,,6.511449283,,,,,
COc1ccc(cc1OC)S(=O)(=O)N2CCC(CC2)NC[C@H](O)COc3cccc4[nH]c5ccccc5c34,,,,,7.698970004,,
COc1ccc(cc1)C2CC(=NN2C(=O)c3cccs3)c4ccc(OC)cc4,,,,,,,5.315154638
COc1ccccc1C2C3CCC(C3)C2CN,,5.829738285,,,,,
C[C@H](CNc1ccc(cc1)c2occc2C(=O)O)NC[C@H](O)c3cccc(Cl)c3,,,,7.698970004,,,7.102372909
COC(=O)C1C2CCC(CC1c3ccc(\C=C\C)cc3)N2,7.26760624,7.537602002,,,,,
CS(=O)(=O)c1cccc2c(CCNC[C@H](O)c3cccc(NS(=O)(=O)c4ccccc4)c3)c[nH]c12,,,,,8.698970004,,
C[C@@H](O)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)c2ccc(cc2)c3ccc(C[C@H](N)C(=O)O)cc3)C(=O)N4CCC[C@H]4C(=O)N[C@@H]([C@@H](C)OCc5ccccc5)C(=O)NCC(=O)O,,6.522878745,,,,,
CSc1cc(nc(Oc2cccc(F)c2)n1)N3CCC4(CC3)CNCCO4,,,6.379863945,,,,
Fc1ccc(cc1)N2CCN3CC2CCC3C(c4ccccc4)c5ccccc5,4.248720896,7.090443971,,,,,
O[C@@H](CNCCc1ccc(NC2CCN(CC2)C(=O)NCc3c(F)cccc3F)cc1)COc4ccc(O)cc4,,,,6.124938737,7.494850022,,
CCCCCCN(C)C(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2,,,,,8.677780705,,
COC(=O)C1C2CCC(C[C@@H]1c3cccc(F)c3)N2C,,7.795880017,,,,,
O[C@@H](CNCc1ccc(NC(=O)CCN2CCC(CC2)OC(=O)Nc3ccccc3c4ccccc4)cc1)c5ccc(O)c6NC(=O)C=Cc56,,,,,,,9.599999383
CN1[C@@H]2CCC1[C@H]([C@H](C2)c3ccc(I)cc3)C(=O)Oc4ccccc4,4.738095088,8.823908741,,,,,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3cc(ccc13)C(=O)O,,,4.777283529,,,,
CN(C)CC1C2CCC(CC2)C1c3ccc(Cl)c(Cl)c3,7.017728767,7.853871964,,,,,
CN1[C@@H]2CCC1C([C@H](C2)c3ccc(Cl)cc3)C(=O)OCCc4ccc(cc4)N=S,5.853871964,8.27572413,,,,,
COC(=O)C1C2CCC(CC1c3ccc(C)c(F)c3)N2C,7.349692477,8.131943638,,,,,
Cn1nccc1c2ccccc2NCC3=NCCN3,,,,,,8,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3onc(Cc4ccc(F)cc4)n3)cc1)c5cccnc5,,,,,7.744727495,,
C[C@@H]1NC(C)(C)CO[C@@]1(O)c2ccc(Cl)cc2,,,6.54515514,,,,
C1[C@H](Cn2ccnc12)c3ccccc3n4cccn4,,,,,,8.301029996,
CC(C)Sc1cc(ccc1C(=O)NS(=O)(=O)C)c2ccc(CCNC[C@H](O)c3cccnc3)cc2,,,,6.619788758,9.721246399,,
COc1ccc(Oc2cccc(CCNC[C@H](O)c3cccc(Cl)c3)c2)cc1C(=O)O,,,,6.292429824,7.958607315,,
CC(C)(Cc1ccc(cc1)c2ccccc2)NCC(O)c3cc(O)cc4NC(=O)COc34,,,,6.684029655,,,7.167491087
CCC(=O)C1C2CCC(CC1c3ccc(\C=C(/C)\I)cc3)N2,,6.396855627,,,,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3oc(nc3)c4ccc(F)c(F)c4)cc1)c5cccnc5,,,,,7.455931956,,
CC(=O)Nc1ccc(Oc2cccc(CCNC[C@H](O)c3cccc(Cl)c3)c2)cc1C(=O)O,,,,6.420216403,8.142667504,,
CCCS(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,,,,7.22184875,,
CCNC(=O)c1ccccc1NCC2=NCCN2,,,,,,7.886056648,
OCC(NCCc1ccccc1O)c2ccc(O)c3NC(=O)C=Cc23,,,,,,,8
CC(Cc1ccc(CNC(=O)c2ccc(C)c(c2)N(C)C(=O)CCN3CCC(CC3)OC(=O)Nc4ccccc4c5ccccc5)cc1)NC[C@H](O)c6ccc(O)c7NC(=O)C=Cc67,,,,,,,8.522878745
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)n3ncc(COc4ccc(F)c(F)c4)n3)cc1)c5cccnc5,,,,,8,,
COC(=O)[C@@H]([C@H]1CCCCO1)c2ccc(Cl)c(Cl)c2,,,7.769551079,,,,
CN(C(=O)CCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)c4cccc(CC(=O)Nc5ccc(CNC[C@H](O)c6ccc(O)c7NC(=O)C=Cc67)cc5)c4,,,,,,,8.522878745
C(Nc1ccccc1c2ocnc2)c3c[nH]cn3,,,,,,7.301029996,
O[C@@H](CN[C@H]1CCc2ccc(Oc3cccc(c3)C(=O)O)cc2C1)c4cccnc4,,,,,7.698970004,,
CN(C)Cc1ccccc1Oc2ccc(Cl)c(Cl)c2,,,6.853871964,,,,
CN(C)C1C2CCC(CC2=O)C1c3ccccc3,4.974694135,5.396855627,,,,,
Cc1csc(n1)N2CCc3cc(ccc23)S(=O)(=O)Nc4ccccc4,,,,,8.091514981,,
C(COC(c1ccccc1)c2ccccc2)NC3CCN(Cc4ccccc4)CC3,,,6.568636236,,,,
OCC(NCCCCOCCCCc1ccccc1)c2ccc(O)c3NC(=O)C=Cc23,,,,,,,6.600326279
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3oc(CCCC4CCCC4)nc3)cc1)c5cccnc5,,,,,8.27572413,,
CNC[C@@H](O)CCN1c2ccccc2N(c3ccc(F)cc3)S1(=O)=O,,,6.413412695,,,,
CNCCC(Oc1ccccc1OC)c2ccccc2,,,5.93930216,,,,
CCCOC(C1CNC1)c2ccc3ccccc3c2,,,7.142667504,,,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(I)cc2)cc1)COc3cccnc3,,,,,8.443697499,,
CC(C)C(=O)N(Cc1cc(Cl)cc(Cl)c1Cl)[C@H]2CCNC2,,,4.665546249,,,,
CCCCOc1ccc(cc1)S(=O)(=O)N2CC(C2)NC[C@H](O)c3ccc(O)c(NS(=O)(=O)C)c3,,,,,5.958607315,,
Fc1ccc(CCN2CCN3CC2CCC3C(c4ccccc4)c5ccccc5)cc1,,6.247951552,,,,,
Clc1ccc(cc1Cl)C(OCc2ccccc2)C3CNC3,,,7.634512015,,,,
CNCCC[C@@H](c1cccs1)c2cccc3ccccc23,,6.392544977,,,,,
COc1ccc(cc1)c2cnc(s2)[C@@H]3[C@H]4CC[C@@H](C[C@@H]3c5ccc(C)cc5)N4C,,7.823908741,,,,,
CSc1ccccc1NCC2=NCCN2,,,,,,8.337242168,
CC[C@H](Cc1ccc(O)cc1)NC[C@H](O)c2cc(O)cc(O)c2,,,,,,,8.552841969
CN1CC(c2ccccc2C1)c3cccc4occc34,,,7.366531544,,,,
O[C@@H](CNCCc1ccc(NC(=S)Nc2ccccc2Cl)cc1)COc3ccccc3,,,,7.22184875,6.397940009,,7.397940009
[O-][N+](=O)c1cc(ccc1Cl)C(=O)c2ccccc2C(=O)OCC(=O)Nc3cccc(c3)C#N,,,,,,,5.278189385
CC1CN(CCCn2c3ccccc3c4ccccc24)CC(C)N1CCCCCCN=C=S,,7.060480747,,,,,
C(CC1CCN(Cc2ccccc2)CC1)OC(c3ccccc3)c4cccs4,,7.565431096,,,,,
NS(=O)(=O)c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1,,,,6.500312917,5.799970733,,9.800000875
C(CC1CCN(Cc2ccc(cc2)c3ccc4ccccc4c3)CC1)OC(c5ccccc5)c6ccccc6,6.40560745,7.57024772,,,,,
CSc1ccc(Oc2ccc(Br)cc2CN(C)C)cc1,,,5.744727495,,,,
CC(C)c1noc(n1)C2C3CCC(C[C@@H]2c4ccc(Cl)cc4)N3C,6.869666232,8.22184875,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccc(O)cc2,,7.008773924,,,,,
COc1cccc(c1)C2C3CCC(C3)C2CN,,5.696803943,,,,,
CCC[C@H](N1CCCC1)C(=O)c2ccc3OCOc3c2,,8.677780705,,,,,
C(CN1CCC(=CC1)Cc2ccccc2)C(N3CCCC3)c4csc5ccccc45,,,6.488116639,,,,
CC(Cc1c[nH]c2ccccc12)NCC(O)c3cccc(Cl)c3,,,,,7.920818754,,7.638272164
CC(C)(C)NC[C@H](O)c1cccc(n1)C(F)(F)F,,,,7.259637311,,,
OCc1cc(ccc1O)[C@@H](O)CNCCc2ccc(CNCCc3ccccc3)cc2,,,,,,,7.494850022
OC1(CN2CCCNCC2)CCN(CC1)c3nc(Oc4cccc(F)c4)cc(n3)C(F)(F)F,,,8.059981845,,,,
Cl.C[C@@H]1NCCCN(C1=O)c2ccc3ccccc3c2,,,6.795880017,,,,
BrC1C2CCC1CN(Cc3ccccc3)C2,,5.334419009,,,,,
COc1ccc(cc1)[C@H]2C[C@H]3CC[C@H]([C@H]2c4onc(c4)c5ccc(C)cc5)N3C,,,7.744727495,,,,
CS(=O)(=O)Nc1cccc(c1)[C@@H](O)CNCCOc2ccc3c(CO)n[nH]c3c2,,,,,6.954677021,7.48148606,
CCC(=O)C1C2CCC(CC1c3ccccc3)N2C,,7.318758763,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccccc2Br,,5.728158393,,,,,
CCc1ccc(cc1)C2CC3CCC(C2C(=O)OC)N3C,5.394694954,7.259637311,,,,,
CNCC[C@@H](c1ccc(Cl)c(Cl)c1)n2nnc(C)n2,,,7.236572006,,,,
OC1(N2CCN=C2c3cc(Cl)c(Cl)cc13)c4ccc(Cl)cc4,,7.866461092,8.22184875,,,,
CCC(=O)C1C2CCC(CC1c3ccc(I)cc3)N2,,8.657577319,,,,,
CC(Oc1ccc(Cl)cc1Cl)c2onc(n2)c3ccc(NC(=O)c4occc4)cc3,,,,,,,6.690369833
COC(=O)C1C2CCC(CC1c3cccc(I)c3)N2C,5.798602876,7.585026652,7.552841969,,,,
FC(F)Oc1ccc(nn1)c2ccc3C(CNCc3c2)c4ccc(Cl)c(Cl)c4,,,7.301029996,,,,
CN1C2CCC1C([C@H](C2)c3ccc(Cl)cc3)c4onc(n4)c5ccc(Br)cc5,5.73754891,8.468521083,,,,,
O[C@@H](CNCCc1ccc(NC(=S)Nc2ccc(cc2)[N+](=O)[O-])cc1)COc3ccccc3,,,,7.045757491,7,,7.698970004
CCCC[C@H]1C2CC[C@H](C[C@H]1c3ccc(C)cc3)N2C,,7.958607315,,,,,
CS(=O)(=O)Nc1cc(ccc1O)C(O)CNC2CCN(CC2)c3ccc(C=C4N=C(N)NC4=O)cc3,,,,,7.468521083,,
Cc1cnc(C[S+]([O-])C(c2ccccc2)c3ccccc3)nc1,,,3.807711387,,,,
CC(C)CC(N(C)C)C1(CCCCC1)c2ccc(Cl)c(Cl)c2,,,6.455931956,,,,
Cc1ccc(CN2CCC(CCOC(c3ccccc3)c4ccccc4)CC2)cc1,,7.638272164,,,,,
Fc1cccc(Oc2cc(nc(n2)N3CCOC4(CCNCC4)C3)C(F)(F)F)c1,,,7.801342913,,,,
Clc1ccc(cc1)C2CNC(=O)C2c3ccc4ccccc4c3,,,6.795880017,,,,
O[C@@H](CN[C@H]1CCc2ccc(cc2C1)c3ccc(cc3F)C(=O)O)c4ccc(Cl)cc4,,,,6.008773924,8.853871964,,
CC(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2,,,,,7.886056648,,
Fc1ccc(cc1)C(OCCC2CCN(C\C=C\c3ccccc3)CC2)c4ccc(F)cc4,,7.387216143,,,,,
Cc1cc(on1)[C@@H]2C3CCC(C[C@H]2c4ccccc4)S3,,,7.187086643,,,,
Cc1oncc1c2cccc3C(CCc23)c4ncc[nH]4,,,,,,6.954677021,
CN1[C@@H]2CCC1[C@H](C(C2)c3ccc(C)cc3)c4onc(C)c4,6.595166283,9.031517051,,,,,
O[C@@H](CNCCc1ccc(NC(=O)c2ccccc2c3nc4ccccc4[nH]3)cc1)c5cccnc5,,,,,7.455931956,,
COC(=O)[C@@H]([C@H]1CCCCN1C)c2ccc(O)cc2,,5.920095532,,,,,
Cc1c(oc2ccc(cc12)S(=O)(=O)N3CCCCCC3)C(=O)N4CCc5ccccc5C4,,,,,,,5.835647144
CS(=O)(=O)NC(=O)c1ccc(cc1C2CCCC2)c3ccc(CCNC[C@H](O)c4ccccc4)cc3,,,,,9.387216143,,
COC(=O)C1C2CCC(CC1c3ccc(OC)c(OC)c3)N2C,,,5.804653942,,,,
O[C@@H](CNCCc1ccc(NC(=O)Nc2ccccc2)cc1)COc3ccccc3,,,,7.698970004,8.795880017,,
O[C@@H]1CN(Cc2ccc(F)cc2)CC[C@H]1CCOC(c3ccccc3)c4ccccc4,5.987162775,8.382999659,,,,,
Clc1cccc(OC(C2CCNCC2)c3cccnc3)c1Cl,,,7.148741651,,,,
CN1[C@@H]2CCC1[C@H](C(C2)c3ccc(Cl)cc3)C(=O)Oc4ccccc4,5.530177984,8.698970004,,,,,
CCN(c1ccc2OCOc2c1)S(=O)(=O)c3cc(Br)cc4CCN(C(=O)C)c34,,,,,,,4.978810701
COC(=O)c1cccc(c1)c2cccc(NCCNC[C@H](O)c3cccc(Cl)c3)c2,,,,5.89997427,6.801342913,,6.300162274
CN(C)[C@H]1CC[C@@H](c2ccc(Cl)cc2)c3ccccc13,5.935542011,5.251811973,,,,,
C(CN1C2CCC1CN(CCOC(c3ccccc3)c4ccccc4)C2)Cc5ccccc5,,7.744727495,,,,,
CNC[C@@H]1Cc2ccccc2[C@@H]1Oc3ccccc3C,,,5.455931956,,,,
COC(=O)C1C2CCC(CC1c3ccc(F)cc3)O2,,,6.262807357,,,,
CNC1CC(c2ccc(F)c(F)c2)c3ccccc13,7.48148606,8.795880017,,,,,
CCN1CCCC[C@@H]1[C@H](CO)c2ccccc2,,5.630784143,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccc(Cl)cc2,,7.677780705,,,,,
CN1CCCCCCCCCCCC(=O)OCC2C3CCC(CC2c4ccc1cc4)N3C,,,6.30980392,,,,
O[C@@H](CNCCc1ccc(cc1)c2ccc(C(=O)O)c(OC3CCOCC3)c2)c4ccccc4,,,,,8.397940009,,
Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@@H](N3)[C@H](O)c4ccccc4)cc2)cs1,,,,,9.045757491,,
CN(C)CC(c1ccc(O)cc1)C2(O)CCCCC2,5.935542011,,,,,,
CC(C)Oc1cc(ccc1C(=O)O)c2ccc(CCNC[C@H](O)c3ccc(Cl)cc3)cc2,,,,6.301029996,8.619788758,,
COC(=O)C1[C@@H](C[C@H]2CCC1N2C)OC(=O)c3ccccc3,,5.210419288,,,,,
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)OC4CC4,6.628932138,9.017728767,,,,,
C(CN1CCN(C\C=C\c2ccccc2)CC1)Cn3nnnc3C(c4ccccc4)c5ccccc5,,,5.65150043,,,,
NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2)ccc1Oc3cccc(Cl)c3,,,5.663540266,,,,
OC(CNCCNC(=O)Nc1cccc(Cl)c1)COc2ccc(OCCOC3CCCC3)cc2,,,,8.522878745,5,,5
Fc1cccc(Oc2cc(N3CCC4(CC3)CNCCO4)c(F)cc2F)c1,,,6.779891912,,,,
Cc1nc(cs1)c2ccccc2NCC3=NCCN3,,,,,,8.346787486,
C1[C@H](Cn2ccnc12)c3ccccc3c4occn4,,,,,,8.698970004,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)c3onc(COc4ccc(F)cc4)n3)cc1)c5cccnc5,,,,,8.096910013,,
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(Cl)c(C)c3)c4onc(c4)c5ccccc5,,,7.823908741,,,,
COc1ccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)c2)cc1,,,,,,,9.100000128
Fc1cccc(Oc2cc(F)c(F)cc2N3CCC4(CCNCC45OCCO5)C3)c1,,,8.690369833,,,,
CN(C)Cc1ccccc1Oc2ccc(OC(F)(F)F)cc2,,,5.236572006,,,,
O[C@@H](CNCCc1ccc(cc1)c2ccc(s2)C(=O)O)c3cccc(Cl)c3,,,,6.698970004,8.124938737,,
CN1C2CCC1C([C@@H](C2)OC(=O)c3ccccc3)C(=O)Oc4ccccc4,,6.950781977,,,,,
O[C@@H](CNCCc1ccc(NC(=O)Cc2cccnc2)cc1)COc3ccc(O)cc3,,,,6.040958608,5.823908741,,
COc1ccc(CC[C@@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1,,,,,6.22184875,,8.301029996
CCCOc1cc(ccc1C(=O)O)c2ccc(C[C@@H](C)NC[C@H](O)c3cccnc3)cc2,,,,6.721246399,10.19382003,,
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(\C=C\C)cc3)N2C,,,7.552841969,,,,
CC(C)(C)NC[C@H](O)COc1cccc2NC(=O)Nc12,,,,,5.698970004,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2cccc(C)c2,,7.677780705,,,,,
CC(C)CCC(=O)Nc1cccc(CCCNCC(O)c2ccc(O)c3NC(=O)C=Cc23)c1,,,,5.709965389,,,9.650000221
C(CN1C2CCC1CN(CCOC(c3ccccc3)c4ccccc4)CC2)Cc5ccccc5,,7.494850022,,,,,
Fc1cccc(Oc2cccc(c2)N3CCC4(CC3)CNCCO4)c1,,,7.540607512,,,,
CC(C)N(CC[C@H](c1ccccc1)c2cc(CCNC[C@H](O)c3ccc(O)c(NS(=O)(=O)C)c3)ccc2O)C(C)C,,,,,,,8
CNCC1(O)Cc2ccccc2C1Sc3ccccc3C,,,5.327902142,,,,
NC(=O)CS(=O)Cc1ccccc1Oc2ccc(Cl)c(Cl)c2,,6.698970004,,,,,
COc1ccc(cc1)[C@](C)(NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)C(=O)Nc3cccc(C)c3,,,,5.27572413,,,
COC(=O)C1C(C[C@H]2CCC1[N+]2(C)C)OC(=O)c3ccccc3,,4.970616222,,,,,
C(Oc1ccccc1c2cccs2)C3=NCCN3,,,,,,9,
Oc1ccc2c(CN3CCC2(C3)c4ccc(Cl)cc4)c1,,,7.268411235,,,,
CN1C2CCC1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(C)c4c5ccc(C)cc5,,,6.761953897,,,,
CCC(=O)C1C2CCC(CC1c3cccc(I)c3)N2C,,7.244125144,,,,,
CNC(=O)c1ccccc1NCC2=NCCN2,,,,,,8.602059991,
CS(=O)(=O)Oc1cccc2c(CCNC[C@H](O)c3cccc(NS(=O)(=O)c4cccs4)c3)c[nH]c12,,,,,8.769551079,,
CC(C)CC(C1CCCCN1)c2ccc(Cl)cc2,,,8.065501549,,,,
COC(=O)C1[C@H](C[C@H]2CCC1N2C)OC(=O)c3ccc(N=[N+]=[N-])c(I)c3,,6.096910013,,,,,
CN(C)CCC(N1CCCC1)c2ccc(Cl)c(Cl)c2,,,6.447331784,,,,
OC1(N2CCN=C2c3ccc(F)cc13)c4ccc(Cl)cc4,,8.187086643,,,,,
Cc1ccccc1CC(C)(C)NCC(O)c2ccc(O)c(CO)c2,,,,6.53165267,,,7.698970004
CCCCN(C)C1(CCCCC1)c2cc3ccccc3s2,,7.677780705,,,,,
COc1ccc(CC(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,,,,6.552841969,5.769551079,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccc(OC)c(OC)c2,,6.091514981,,,,,
Clc1cccc(c1)C2CNC(=O)C2c3ccccc3,,,7.638272164,,,,
O=S(=O)(Nc1ccccc1)c2ccc3N(CCc3c2)c4nc(CCCC5CCCC5)cs4,,,,,8.494850022,,
Fc1ccc(NC(=O)c2cc(Oc3cncc(c3)C#N)cn4ncnc24)nc1,,,5.482804102,,,,
C(CN1CCN(CC1)c2ccccc2)Cn3nnnc3C(c4ccccc4)c5ccccc5,,,5.785156152,,,,
FC(F)(F)c1ccc(nn1)c2ccc3C(CNCc3c2)c4ccc(Cl)c(Cl)c4,,,7.096910013,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccc(C)cc2,,7.48148606,,,,,
Cc1nnc2sc(C(=O)NCc3ccc(cc3)S(=O)(=O)C(F)F)c(N)c2c1C,,,6.756961951,,,,
CN1C2CCC1CN(CCOC(c3ccccc3)c4ccccc4)C2,,6.954677021,,,,,
C(c1cccc2C(CCc12)c3ncc[nH]3)n4ccnn4,,,,,,7.045757491,
CSc1ccc(cc1NCC2=NCCN2)C(F)(F)F,,,,,,8,
CC(C)Sc1cc(ccc1C(=O)NS(=O)(=O)C)c2ccc(CCNC[C@H](O)c3ccccc3)cc2,,,,,9.494850022,,
CN(C)CCCN1c2ccccc2CCc3ccccc13,5.886056648,4.698970004,4.591760035,,,,
CN1C2CCC1C(C(C2)c3ccc(C)cc3)C(=O)N,5.356744775,7.37675071,,,,,
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4ncc(s4)c5cccc(c5)[N+](=O)[O-],,8.397940009,,,,,
Cc1csc2ncnc(N3CCC(CC3)NCC(O)COc4ccc(O)cc4)c12,,,,7.187086643,7.698970004,,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccc(cc13)n4cncn4,,,6.602059991,,,,
CCCCCCN1N=CN(C1=O)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3,,,,,7,,
CN1C2CCC1C(C(C2)c3ccc(C)cc3)C(=O)OC4CCC4,5.324404944,8.431798276,,,,,
CNC1(CCCCC1)c2cc3ccccc3s2,,7.244125144,,,,,
FC(F)(F)c1cc(Oc2cccs2)nc(n1)N3CCC4(CC3)CNCCO4,,,7.3400838,,,,
COC(=O)C1[C@H](CC2CCC1N2C)OC(c3ccccc3)c4ccc(Br)cc4,,,7.619788758,,,,
[O-][S+](Cc1csc(n1)c2cccs2)C(c3ccccc3)c4ccccc4,,,5.156767222,,,,
OC1CNCCC12CCN(C2)c3nc(Oc4cccc(F)c4)cc(n3)C(F)(F)F,,,8.410050399,,,,
O[C@@H](CNCCc1ccc(NC(=O)Cc2cccs2)cc1)COc3ccc(O)cc3,,,,6.259637311,6.301029996,,
CN1CC(c2ccc3ccnn3c2)c4ccccc4C1,,,7.356547324,,,,
CN1C2CCC1CC(O)(C2)C3c4ccccc4c5ccc(Br)cc35,,,4.774690718,,,,
C(CN1CCN(CCOC(c2ccccc2)c3ccccc3)CC1)Cc4cccnc4,,7.15490196,,,,,
Cc1c(sc2ncnc(N3CCC(CC3)NCC(O)COc4ccccc4)c12)c5ccccc5,,,,,7.017728767,,
OC1C2CCC1CN(Cc3ccccc3)C2,,4.655607726,,,,,
C1CCN(C1)C2(CCCC2)c3cc4ccccc4s3,,7.886056648,,,,,
CN1[C@@H]2CC[C@H]1[C@@H]([C@@H](C2)c3ccccc3)c4ccccc4,5.557520231,5.896196279,,,,,
Cc1cccc(C)c1N2CCN(CCCn3nnnc3C(c4ccccc4)c5ccccc5)CC2,,,5.42945706,,,,
CNCCCC1(SC(C)(C)c2ccccc12)c3ccccc3,9.102372909,5.031517051,,,,,
COC(=O)[C@@H]([C@H]1CCCCN1CCCCCCc2ccccc2)c3ccccc3,,6.183096161,,,,,
O[C@@H](CNCCc1cccc(CNCCc2ccccn2)c1)c3ccc(O)c4NC(=O)C=Cc34,,,,,,,8.602059991
CN(C)CC1CC1c2n[nH]c3ccc(cc23)C#N,,,4.356547324,,,,
C[C@@H]1CN(CCCc2ccccc2)[C@@H](C)CN1CCCc3ccccc3,,5.876148359,,,,,
CCCC(N1CCCC1)C(=O)c2ccccc2,,,7.281498311,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2cccc(OC)c2,,6.540607512,,,,,
CC(C)NS(=O)(=O)c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1,,,,6,6.500312917,,9.300000202
CN1CC(c2ccc3ncsc3c2)c4ccccc4C1,,,7.27572413,,,,
CN(CC(O)COc1ccccc1)C2CCN(CC2)c3ncnc4scc(c5ccccc5)c34,,,,,6.823908741,,
O[C@@H](CNCCc1ccc(cc1)c2ccc(C(=O)O)c(OC3CCCCC3)c2)c4ccccc4,,,,6.585026652,9.522878745,,
CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc3ccccc3C,,,5.795880017,,,,
OC[C@@H]([C@H]1CCCCN1CCCCc2ccccc2)c3ccccc3,,6.205511953,,,,,
CC(C)(Cc1ccc(NC(=O)CCCNC(=O)C[N+](C)(C)C)cc1)NCC(O)c2cc(O)cc3NC(=O)COc23,,,,7.552841969,,,7.920818754
COc1ccc(cc1)[C@](C)(NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)C(=O)Nc3cccc(Cl)c3,,,,5.769551079,,,
OC(CNC1CCN(CC1)c2ncnc3ccsc23)COc4ccccc4,,,,,8.552841969,,
Cc1ccc(cc1)C2(O)N3CCN=C3c4ccccc24,,7.031517051,,,,,
CN1CC(c2ccc3occc3c2)c4ccccc4C1,,,8.244125144,,,,
CS(=O)(=O)c1cccc2c(CCNC[C@H](O)c3cccc(NS(=O)(=O)CC(F)(F)F)c3)c[nH]c12,,,,,7.318758763,,
CC(C)Oc1cc(ccc1C(=O)O)c2ccc(CCNC[C@H](O)c3cccc(O)c3)cc2,,,,6.356547324,10.20760831,,
O[C@@H](CN[C@H]1CCc2ccc(Oc3cccc(OCC(=O)O)c3)cc2C1)c4cccc(Cl)c4,,,,,7.657577319,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(I)cc2)cc1)COc3ccccc3,,,,,6.920818754,,
CC(C)Cc1nc2oc3c(Cl)ncnc3c2c4CCCc14,,,,,,,4.928117993
CCS(=O)(=O)N1CCN(CC1)c2ccc3c(CN4CCC3(CC4)c5ccc(Cl)cc5)c2,,,7.866461092,,,,
Cc1cccnc1CC(=O)Nc2ccc(CCNC[C@H](O)COc3ccccc3)cc2,,,,6.48148606,6.408935393,,
OC[C@H](NCCc1ccc(O)cc1)c2ccc(O)c3NC(=O)C=Cc23,,,,,,,6.484126156
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(Cc3nc(cs3)c4cccnc4)cc2)cc1)c5ccccc5,,,,,7.397940009,,
COC(=O)C1=C(CC2CCC1O2)c3ccc(I)cc3,,,7.167491087,,,,
CC(NC(C)(C)C)C(=O)c1cccc(F)c1,,,5.835647144,,,,
