smiles,pEC50_GluN_e2z1_rat,pEC50_GluN_e3z1_rat,pEC50_GlyT1_human,pEC50_GlyT2_human,pIC50_GABAa1b2g2_human,pEC50_GluA_human,pKi_GABA_a1b3g2_human,pKi_GABA_a2b3g2_human,pKi_GABAa5b3g2_human,pKi_GABA_a3b3g2_human
CC(C)c1noc(n1)-c1nnc2c3C4CCC(CC4)c3c(OCc3cccc(C)n3)nn12,,,,,,,,7.164943898,8.187086643,7.076238039
S=C=Nc1cc2c(c[nH]1)nc1ccccc21,,,,,,,7.173925197,6.920818754,,6.850780887
COc1ccc(OCC2N(CCc3cc(C)ccc23)C(=O)c2cccc(Br)c2)cc1,,5.494850022,,,,,,,,
Cc1nc(cs1)-c1nnc2c3C4CCC(CC4)c3c(OCc3cccc(C)n3)nn12,,,,,,,,,7.236572006,
Cc1onc(C(O)=O)c1C[C@H](N)C(O)=O,,,,,,5.795880017,,,,
FC(F)(F)c1ccn2c(cnc2n1)-c1cncc(c1)-c1ccccc1C#N,,,,,,,7.744727495,,,
COc1ccccc1N1CCN(CC1)C(=O)c1cc(ccc1N1CCOCC1)[N+]([O-])=O,,,,4.872895202,,,,,,
Clc1ccc(cc1)C(NC(=O)CNC(=O)CCc1ccccc1)c1ccccc1,,,5.319664487,4.534617149,,,,,,
OC(=O)c1ccc2cc(CCCC3CCCC3)ccc2c1,4.568636236,4.649751982,,,,,,,,
CCOCc1ncn-2c1CN(C)C(=O)c1cc(Cl)ccc-21,,,,,,,,,7.080921908,
CC1CC(=O)c2c(Sc3cccs3)ccc(-c3ccccn3)c2C1,,,,,,,8.638272164,8.26760624,9.301029996,8.346787486
C[C@]12CC(=O)[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC[C@@H]2C=O,,,,,6.113509275,,,,,
Fc1cnc(c(F)c1)-c1cc(ccc1F)-c1cnnc(c1)-c1ccncc1F,,,,,,,8.455931956,8.086186148,8.251811973,8.086186148
Clc1ccc(cc1Cl)[C@@H]1CCCC[C@@H]1N1CCC2(CC1)N(CNC2=O)c1ccccc1,,,7.173925197,5.167491087,,,,,,
c1ccc2c(c1)[nH]c1c[nH]c3c4cccnc4nc3c21,,,,,,,8.657577319,7.920818754,6.698970004,7.795880017
COCc1nc2-c3cc(Br)ccc3-n3cnc(C)c3Cn2n1,,,,,,,6.208309351,6.159266765,7.886056648,6.227678293
Cc1ncn-2c1Cn1ncnc1-c1cc(OC(F)F)ccc-21,,,,,,,,,8.744727495,
CCc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2ccccc2)cc1,,4.638272164,,,,,,,,
CCC(=O)Nc1ccc2N3[C@H]4[C@@H]5[C@H](CC3=O)OCC=C3CN6CC[C@]4([C@@H]6C[C@H]53)c2c1,,,,,,,,,,
Cc1ccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)nn1,,,,,,,7.301029996,7.657577319,8.677780705,8
CC(C)(C)OC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1cc(ccc-21)C#C[Si](C)(C)C,,,,,,,,6.756961951,6.987162775,
Clc1ccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)nn1,,,,,,,7.13667714,7.37675071,8.886056648,7.638272164
C[C@H](Oc1ccc(cc1C(=O)N1Cc2ccc(cc2C1)-c1ccncc1)S(C)(=O)=O)C(F)(F)F,,,7.769551079,,,,,,,
COC(=O)c1cc(-c2ccccc2)c(-c2ccccc2)n(C)c1=O,,,,,,,6.283996656,6.568636236,,6.568636236
Fc1ccccc1-c1cc(ccn1)-c1cnc2nc(ccn12)C(F)(F)F,,,,,,,8.080921908,7.853871964,,7.853871964
COc1ccc(OC)c(c1)-c1cccc2c(N)c3c(cn(C4CC(C)C4)c3=O)[nH]c12,,,,,,,,7.840132153,,
COc1cccc(c1)-c1nnc2c3C4CCC(CC4)c3c(OCc3ccccn3)nn12,,,,,,,6.853871964,7.102372909,8.22184875,7.537602002
CC(=O)c1ccc(N2CCN(CC2)C(=O)c2cc(ccc2N2CCOCC2)S(C)(=O)=O)c(F)c1,,,7.15490196,,,,,,,
Fc1ccc(cc1)C1CNC(=O)C11CCN(CC1)C1(CCCCC1)c1cccs1,,,7.173925197,,,,,,,
O=c1n([nH]c2c1cnc1ccc(cc21)C#C)-c1ccccc1,,,,,,,10.09691001,10.22184875,10.09691001,10.69897
Clc1ccc(cc1)-n1[nH]c2C3CCCC3N=Cc2c1=O,,,,,,,9.356547324,8.958607315,,8.958607315
FC(F)(F)c1cc(ccc1Cl)[C@@H]1CCCC[C@@H]1N1CCC2(CC1)N(CNC2=O)c1ccccc1,,,5.744727495,,,,,,,
C[C@]12CC(=O)[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC\C2=C\C#N,,,,,7.251811973,,,,,
CCCCOc1cc2c(c[nH]1)nc1ccccc21,,,,,,,7.431798276,6.71219827,6,6.610833916
[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1C#N)C(F)(F)F,,,7.823908741,,,,,,,
CS(=O)(=O)c1ccc(OCC2CC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1)C(F)(F)F,,,7.397940009,,,,,,,
OP(O)(=O)C1CCNCC1,,,,,,,2.48148606,2.677780705,2.552841969,2.420216403
Cn1ncn2c(cnc2c1=O)-c1ccc(F)c(c1)-c1ccc(F)cc1C#N,,,,,,,8.187086643,8.327902142,8.638272164,8.327902142
CC(C)=CC1(CCCCC1)N1CCC2(CC1)C(CNC2=O)c1ccccc1,,,6.009217308,,,,,,,
[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1CCN(CC1)c1cccc(c1)C(F)(F)F,,,6.397940009,6.522878745,,,,,,
CCOC(=O)c1ncn-2c1Cn1cnnc1-c1cc(Cl)ccc-21,,,,,,,,,8.920818754,
CCOC(=O)c1ncn-2c1[C@H]1CCCN1C(=O)c1cc(ccc-21)C#C,,,,,,,6.548213564,6.49757288,8.142667504,6.991399828
Cn1ncnc1COc1nn2c(nnc2cc1C1CCCCC1)-c1ccccc1,,,,,,,8.207608311,7.853871964,,8.318758763
COc1ccc(OCC2N(CCc3cc(OC)cc(OC)c23)C(=O)c2cccc(Br)c2)cc1,,5.045757491,,,,,,,,
Cn1nccc1-c1ncn-2c1Cn1ncnc1-c1cc(Br)ccc-21,,,,,,,,,8.013228266,
COc1ccc(\C=C\C2N(CCc3cc(OC)ccc23)C(=O)c2cccc(Br)c2)cc1,,5.823908741,,,,,,,,
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccc(I)cc21,,,,,,,7.841637508,7.347753659,7.185086819,6.910094889
Fc1ccc(cc1)C(=O)NCC(=O)NC(c1cccc(F)c1)c1cccc(F)c1,,,7.795880017,5.177178355,,,,,,
CSc1sc(c2CC(C)(C)CC(=O)c12)-c1ccncc1,,,,,,,6.764471553,7.366531544,8.040958608,7.455931956
CN1c2ccc(cc2C(=NCC1=O)c1ccccc1)C#N,,,,,,,6.494850022,6.508638306,6.576754126,6.455931956
CCOC(=O)CC1CCCN1C(=O)C(=O)c1c[nH]c2c(C)cccc12,,,,,,,,6.356547324,,6.301029996
CCC(C)Oc1ccc(cc1C(=O)N1CCN(CC1)c1ccc(cc1F)C(C)=O)S(C)(=O)=O,,,8.045757491,,,,,,,
CCCC1CNC(=O)C11CCN(CC1)C1(CCCCC1)c1ccccc1,,,7.086186148,,,,,,,
CCCC(=O)N(C)Cc1c(nc2ccccn12)-c1ccc(Cl)cc1,,,,,7.48148606,,,,,
CCc1c(C#N)c(c(C(O)=O)n1C)-c1ccc(cc1)-c1ccc(F)cc1,,,,,,6.616184634,,,,
CS(=O)c1sc(C(O)=O)c(c1C#N)-c1ccc(cc1)C(C)(C)C,,,,,,6.310691141,,,,
C[C@H](Oc1ccc(cc1C(=O)N1Cc2cnc(cc2C1)C(F)(F)F)S(C)(=O)=O)C(F)(F)F,,,6.879426069,,,,,,,
Cc1csc(n1)-c1cc(-c2c(C)noc2C)c2-c3cnccc3CCCn2c1=O,,,,,,,8.337242168,8.508638306,,8.508638306
CC(Oc1nn2c(nnc2c2ccccc12)-c1ccccc1)c1ccccn1,,,,,,,6.017728767,6.283996656,6.853871964,6.494850022
CN(Cc1ccccc1)C(=O)C1CCCN(C1)C(=O)C(=O)c1c[nH]c2ccccc12,,,,,,,,7.397940009,,7.017728767
CCOC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1ccccc-21,,,,,,,8.13667714,8.148741651,8.795880017,8.148741651
COCc1c(SC#N)[nH]cc2nc3ccc(OCc4ccccc4)cc3c12,,,,,,,7.602059991,7.080921908,6.798602876,7.229147988
COc1cc(cc(SC)c1C(=O)NC1(CCCN(C)C1)c1ccc(Cl)cc1)C(F)(F)F,,,7.552841969,,,,,,,
COc1ccc(OCC2N(Cc3cccc(Cl)c3)C(=O)Cc3cc(OC)ccc23)cc1,,5.7000571,,,,,,,,
Cn1ncnc1COc1nn2c(nncc2c1-c1ccccc1F)-c1cccc(F)c1,,,,,,,,8.920818754,,8.920818754
N#Cc1ccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)cc1,,,,,,,6.508638306,6.958607315,8.026872146,7.15490196
CC(=O)c1ccc(N2CCN(CC2)C(=O)c2cc(ccc2N2CCOCC2)S(N)(=O)=O)c(F)c1,,,6.920818754,,,,,,,
COc1nc(CSc2ccc(-c3nccs3)c3CC(C)CC(=O)c23)ns1,,,,,,,7.397940009,7.468521083,8.494850022,7.455931956
Br.OC(=O)CCCn1nc(ccc1=N)-c1ccc(OCc2ccccc2)cc1,,,,,7.958607315,,,,,
CCOC(=O)c1cncn1[C@@H](C)c1ccccc1,,,,,3.530177984,,,,,
O=c1[nH]sc(C2CCNCC2)c1Cc1ccc2ccccc2c1,,,,,,,7.657577319,,,
CSOc1ccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)cc1,,,,,,,7.017728767,7.387216143,8.119186408,7.508638306
Cc1ncc2Cc3c(Cl)ncn3-c3ccc(cc3-c2n1)C#C,,,,,,,,,6.876148359,
CC(C)(O)c1cnn2c(cnc2n1)-c1ccc(F)c(c1)-c1ccncc1,,,,,,,9.259637311,9.036212173,9.301029996,9.283996656
O[C@]1(CCCC[C@H]1N1CCC2(CC1)N(CNC2=O)c1ccc(F)cc1)c1ccc(Cl)cc1,,,7.619788758,4.721246399,,,,,,
Clc1ccc(cc1)C(NC(=O)CNC(=O)c1ccc(Cl)cc1)c1ccccc1,,,6.552841969,5.229147988,,,,,,
CCc1c(C#N)c(c(C(O)=O)n1C)-c1ccc(cc1)-c1ccccc1,,,,,,5.753009301,,,,
CC(C)(O)c1ccn2c(cnc2c1F)-c1ccc(F)c(c1)-c1ccccc1C#N,,,,,,,9.698970004,9.494850022,,9.494850022
COc1ccc(OCC2N(CCc3cc(OC(C)C)ccc23)C(=O)c2cccc(I)c2)cc1,5.769551079,6.161150909,,,,,,,,
CCOc1ncn-2c1Cn1nccc1-c1cc(Cl)ccc-21,,,,,,,,,8.853871964,
C[C@@H](c1ccccc1)n1cncc1C(=O)OCCC1(C)N=N1,,,,,4.178748568,,,,,
O=c1[nH]oc2CNCCc12,,,,,,,,6.780022743,,
CC(=O)c1ccc(N2CCN(CC2)C(=O)c2cc(ccc2NC2CCCCC2)[N+]([O-])=O)c(F)c1,,,8.698970004,5.070581074,,,,,,
CCOC(=O)c1cn2Cc3c(C)ncn3-c3ccc(Br)cc3-c2n1,,,,,,,,,8.26760624,
COc1ccc(OCC2N(CCc3cc(OC)cc(OC)c23)C(=O)c2cccc(Cl)c2)cc1,,5.214670165,,,,,,,,
CC(Oc1ccc(cc1C(=O)N1CCN(CC1)c1ncc(cc1C)C(F)(F)F)S(C)(=O)=O)C(F)(F)F,,,7.096910013,4.537602002,,,,,,
COC(=O)c1ccc(C2N(CCc3c[nH]c4ccccc34)C(=O)C(O)=C2C(C)=O)c(O)c1,,4.823908741,,,,,,,,
C[Si](C)(C)C#Cc1ccc2[nH]c3cnc(cc3c2c1)C(=O)OCC(F)(F)F,,,,,,,7.769551079,7.229147988,5.840432807,7.055517328
CCCOc1ccc2[nH]c3cnc(C(=O)OCC)c(COC)c3c2c1,,,,,,,9.30980392,8.91721463,8.619788758,8.657577319
CC(C)N(Cc1ncn-2c1CN(C)C(=O)c1cc(Cl)ccc-21)C(C)C,,,,,,,5.376647318,4.899629455,5.869666232,5.202732459
CCOC(=O)c1[nH]cc2nc3ccc(OC)cc3c2c1COC,,,,,,,9.853871964,8.920818754,8.397940009,8.769551079
CS(=O)(=O)c1ccc(N2CCCCC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1)C(F)(F)F,,,7.124938737,,,,,,,
CCOC(=O)c1[nH]cc2nc3ccc(OCc4cccc5ccccc45)cc3c2c1CC,,,,,,,6.73754891,6.536107011,6.568636236,6.522878745
Cc1ccc(cc1)-c1nnc2c3C4CCC(CC4)c3c(OCc3ccccn3)nn12,,,,,,,6.508638306,6.920818754,8.327902142,7.494850022
CCOC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1cc(ccc-21)C#C,,,,,,,7.229147988,7.356547324,8.886056648,7.568636236
Clc1ccc(cc1)-n1[nH]c2c(cnc3ccccc23)c1=O,,,,,,,,6.669586227,,
O=C1NCN(CCC2CCCCC2)C11CCN(CC1)[C@H]1CCCC[C@H]1c1ccccc1,,,7.602059991,4.823908741,,,,,,
CC1(C)Cc2c(sc(SCCCO)c2C(=O)C1)-c1nccs1,,,,,,,7.102372909,7.318758763,8.327902142,7.318758763
CCS(=O)(=O)c1ncn-2c1Cn1ncnc1-c1cc(Cl)ccc-21,,,,,,,,,6.66756154,
CCCNC(=O)c1nnc2c(cccc2c1N)-c1cnccc1OC,,,,,,,,8.649751982,,
CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(OCC)ccc-21,,,,,,,7.958607315,7.443697499,8.958607315,7.769551079
CCOC(=O)c1ncn2c1n(C)c(=O)c1cc(ccc21)C#C,,,,,,,,6.70333481,,
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cccc(c2)C(Cl)Cl)cc1,,5.431798276,,,,,,,,
COc1ccc(OC[C@@H]2N(CCn3cccc23)C(=O)c2cccc(c2)C(F)(F)F)cc1,,5.89997427,,,,,,,,
C[C@@]12CCC[C@H]1[C@@H]1CC=C3C[C@H](CC[C@]3(C)[C@H]1CC2)OC(=O)CCCCCC(O)=O,5.744727495,,,,,,,,,
CCOc1ccc(OCC2N(CCc3cc(OC(C)C)ccc23)C(=S)c2ccc(F)c(Cl)c2)cc1,6.075720714,6.455931956,,,,,,,,
Cc1cccc(c1)C1(CCCCC1)N1CCC2(CC1)C(CNC2=O)c1ccc(F)cc1,,,6.022733788,,,,,,,
COC(=O)c1cc(-c2ccc(OC)cc2)c(-c2ccccc2)n(C)c1=O,,,,,,,6.204119983,6.468521083,6.40560745,6.677780705
C(Oc1nn2c(nnc2c2C3CCC(CCC3)c12)-c1ccccc1)c1ccccn1,,,,,,,7.148741651,7.585026652,8.920818754,7.920818754
CCNc1cc(cnn1)-c1cccc(c1)C#N,,,,,,,,7.102372909,7.48148606,7.102372909
CN1CCCC(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)C1,,,,,,,6.124938737,6.585026652,7,6.337242168
FC(F)(F)c1ccc(cc1)N1CNC(=O)C11CCN(CC1)[C@H]1CCCC[C@H]1c1ccccc1,,,7.187086643,5.468521083,,,,,,
Cc1ncn-2c1Cn1nc(CC3CC3)nc1-c1cc(Br)ccc-21,,,,,,,6.269217724,6.390405591,8.301029996,6.390405591
C[C@H](Oc1ccc(cc1C(=O)N1Cc2cccc(C)c2C1)S(C)(=O)=O)C(F)(F)F,,,5.473660723,,,,,,,
CN(C)c1ccc-2c(c1)C(=O)N(C)Cc1c(ncn-21)C(=O)OC(C)(C)C,,,,,,,7.886056648,7.420216403,9.107905397,7.420216403
COC(=O)c1cc2c(cn1)[nH]c1ccccc21,,,,,,,,8.036212173,,
CCCC(=O)c1cc2c(cn1)[nH]c1ccc(F)cc21,,,,,,,8.431798276,7.568636236,6.595166283,7.397940009
CC(C)Oc1ccc(cc1C(=O)N1CCN(CC1)c1ccc(cc1F)C(C)=O)S(C)(=O)=O,,,7.408935393,,,,,,,
O=C1NCN(c2ccccc2)C11CCN(CC1)C1CCCCC1c1ccccc1,,,7.585026652,4.920818754,,,,,,
N[C@@H]([C@@H]1C[C@@H]1C(O)=O)C(O)=O,7.080921908,6.958607315,,,,,,,,
CS(=O)(=O)c1ccc(OCCC(F)(F)F)c(c1)C(=O)N1Cc2cc(cnc2C1)C(F)(F)F,,,6.954677021,,,,,,,
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1cccnc1)c1ccccn1,,,,,,,6.585026652,7.26760624,8.568636236,7.420216403
C[C@H](Oc1ccc(cc1C(=O)N1Cc2cccc(C#N)c2C1)S(C)(=O)=O)C(F)(F)F,,,6.113509275,,,,,,,
CCc1nnc2c3ccccc3c(OCc3ccccn3)nn12,,,,,,,6.602059991,6.886056648,7.795880017,7.27572413
Cc1cccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2cccs2)n1,,,,,,,6.93930216,7.180456064,8.397940009,7.657577319
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2ccc(F)c(Cl)c2)cc1,,5.27572413,,,,,,,,
CS(=O)(=O)c1ccc(N2CCCCC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1F)C#N,,,7.920818754,,,,,,,
COCCN(CCOC)c1nn2c(nnc2c2ccccc12)-c1ccc(OC)cc1,,,,,,,7.420216403,7.387216143,7.096910013,7.387216143
Fc1ccccc1-c1cc(cnn1)-c1cccc(c1)C#N,,,,,,,,8.102372909,8.468521083,8.102372909
Cc1noc(n1)-c1ncn-2c1[C@@H]1CCN1C(=O)c1cc(ccc-21)C#C,,,,,,,7.721246399,7.251811973,8.142667504,7.040958608
[O-][N+](=O)c1cccc(c1)-c1c(o[nH]c1=O)C1CCNCC1,,,,,,,6.860120914,,,
CN(C)C(=O)Cc1c(nc2ccc(C)cn12)-c1ccc(C)cc1,,,,,7.337242168,,7.283162277,6.593289541,,6.215739417
CC(C)(C)c1o[nH]c(=O)c1C[C@H](N)C(O)=O,,,,,,5.119186408,,,,
CCOC(=O)c1[nH]cc2nc3ccc(O)cc3c2c1COC,,,,,,,8.698970004,8.26760624,7.721246399,7.958607315
COc1ccc(cc1)N1CCN(CC1)C(=O)c1cc(ccc1OC(C)C(F)(F)F)S(C)(=O)=O,,,6.366531544,,,,,,,
CO[C@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC\C(=C/C#N)[C@@]4(C)CC(=O)[C@H]23)C[C@@H]1O,,,,,6.2644011,,,,,
Cc1noc(Cc2nc3-c4cc(Br)ccc4-n4cnc(C)c4Cn3n2)n1,,,,,,,6.328827157,6.498940738,9.045757491,6.557520231
CC(C)(C)Sc1sc(-c2cc[nH]n2)c2CC(C)(C)CC(=O)c12,,,,,,,,,6.769551079,
COCc1c(ncc2[nH]c3ccc(OCc4ccccc4)cc3c12)C(=O)OC(C)C,,,,,,,,8.148741651,,
Nc1c2c(cn(C3CCC3)c2=O)[nH]c2c(cccc12)-c1ncccn1,,,,,,,,8.080921908,7.853871964,
COc1ccc(cc1)-c1nnc2c3C4CCC(CC4)c3c(OCc3ccccn3)nn12,,,,,,,6.638272164,7.13076828,8.37675071,7.283996656
N[C@@H](C(O)=O)c1c(Cl)cnn1O,,,,,,,,,,
OC1(CCCCC1N1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(F)cc1,,,7.619788758,,,,,,,
CCNc1cc(cnn1)-c1cccc(Br)c1,,,,,,,8.455931956,8.13667714,8.420216403,8.13667714
O=C(N1CCCCC1)c1ccc2nccnc2c1,,,,,,3.806875402,,,,
COc1ccc(cc1C(=O)N1CCN(CC1)c1ccc(cc1F)C#N)S(C)(=O)=O,,,5.008773924,,,,,,,
COC(=O)CO\N=C1/[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N(c2ccccc62)C1=O,,,,,,,,,,
CC(C)S(=O)(=O)N[C@@H]1CCC[C@@H]1c1ccc(cc1)[N+]([O-])=O,,,,,,6.721246399,,,,
CCOC(=O)c1ccc(cc1)C1N(CCc2c[nH]c3ccccc23)C(=O)C(O)=C1C(=O)c1cccnc1,,5.086186148,,,,,,,,
CCC(F)(F)c1ncn-2c1Cn1ncnc1-c1cc(F)ccc-21,,,,,,,,,8.494850022,
O=c1[nH]sc(C2CCNCC2)c1CCC(c1ccccc1)c1ccccc1,,,,,,,8.920818754,,,
CN(C)C(=O)COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1,,,,,,,6.657577319,6.795880017,8,7.050609993
FC(F)c1ncn-2c1Cn1ncnc1-c1cc(Cl)ccc-21,,,,,,,7.27572413,7.091514981,8.251811973,7.318758763
Clc1ccc(N\C=C(/C(=O)NC2CC2)C(=O)c2ccccc2Cl)cc1,,,,,7.522878745,,,,,
BrC(c1c(o[nH]c1=O)C1CCNCC1)c1ccc2ccccc2c1,,,,,,,7.37675071,,,
Cc1ccccc1N1CCN(CC1)C(=O)c1cc(ccc1N1CCOCC1)[N+]([O-])=O,,,,4.847711656,,,,,,
Cc1c(s[nH]c1=O)C1CCNCC1,,,,,,,5.540607512,,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCC(O)=O,4.714442691,,,,,,,,,
CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc21)c1ccccc1,,,,,,,7.474955193,6,6,6
On1ncc(C2CCNCC2)c1-c1cccc(c1)-c1ccccc1,,,,,7.619788758,,,,,
CN1Cc2c(ncn2-c2ccc(Br)cc2C1=O)C(=O)OC(C)(C)C,,,,,,,7.958607315,7.958607315,9.327902142,8.036212173
OC1(CCCCC1N1CCC2(CC1)C(CNC2=O)c1ccc(F)cc1)c1ccccc1OC(F)(F)F,,,5.855737226,,,,,,,
CC(Oc1ccc(cc1C(=O)N1CCN(CC1)c1ccc(nc1)C(F)(F)F)S(C)(=O)=O)C(F)(F)F,,,7.096910013,,,,,,,
COc1ccc(OCC2N(CCc3cc(OCC(C)C)ccc23)C(=O)c2cccc(Cl)c2)cc1,5.823908741,6,,,,,,,,
Cc1conc1COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1,,,,,,,7.096910013,7.455931956,8.568636236,7.744727495
Cn1ncnc1COc1nn2c(nncc2c1-c1ccccc1F)-c1ccccc1Cl,,,,,,,,7.677780705,,7.677780705
C\C(C#N)=C1\CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,,,,,5.735182177,,,,,
CO[C@H]1C[C@@]2(C)[C@@H](CC\C2=C\C#N)[C@@H]2CC[C@H]3C[C@H](O)CC[C@]3(C)[C@@H]12,,,,,7.27572413,,,,,
CP(O)(=O)CCCN,,,,,,,,6.124938737,,
O=C1NC[C@H](c2ccccc2)C11CCN(CC1)[C@H]1CCCC[C@H]1c1ccccc1,,,7.214670165,,,,,,,
C(Oc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1)n1cccn1,,,,,,,6.886056648,7.366531544,8.568636236,7.721246399
CN1Cc2c(ncn2-c2ccc(cc2C1=O)C#C)C(=O)OCOCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(ccc-21)C#C,,,,,,,5.42078822,5.569602409,7.118387128,5.729554092
O=c1n([nH]c2c1cnc1ccccc21)-c1ccccc1,,,,,,,10.30103,10.09691001,9.602059991,9.920818754
Cc1cccc(n1)-c1ncn-2c1Cn1ncnc1-c1cc(Cl)ccc-21,,,,,,,,,7.508638306,
CN1Cc2c(ncn2-c2ccc(Cl)cc2C1=O)C(=O)OCC1CC1,,,,,,,7.795880017,7.318758763,8.008773924,7.366531544
COC(=O)c1ccc(cc1)C1N(CCc2c[nH]c3ccccc23)C(=O)C(OC)=C1C(C)=O,,4.431798276,,,,,,,,
CC(C)(C)OC(=O)c1ncn-2c1[C@@H]1CCCN1C(=O)c1cc(ccc-21)-c1cccs1,,,,,,,7.795880017,6.920818754,7.920818754,6.910094889
CC(C)(C)C(=O)Oc1ccc2c(c1)[nH]c1c2[nH]cc2nc3ccccc3c12,,,,,,,6.806875402,,,
CCC(NC(=O)CNC(=O)c1ccc(F)cc1)c1ccccc1,,,5.387216143,,,,,,,
COc1cccc(c1)C1(CCCN(C)C1)NC(=O)c1c(OC)cc(cc1SC)C(F)(F)F,,,6.958607315,,,,,,,
CCOC(=O)c1[nH]cc2nc3ccc(OCc4ccc5ccccc5c4)cc3c2c1CC,,,,,,,6.73754891,6.536107011,6.568636236,6.522878745
O[C@]1(CCCC[C@H]1N1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(F)cc1,,,7.397940009,4.244125144,,,,,,
Oc1ccccc1C(=O)NNC(=S)Nc1ccc(Cl)c(Cl)c1,,,,,7.124938737,,,,,
COC(=O)c1ccc(C2N(CCc3c[nH]c4ccccc34)C(=O)C(O)=C2C(C)=O)c(F)c1,,4.431798276,,,,,,,,
C[Si](C)(C)C#Cc1ccc-2c(c1)C(=O)N1CCC[C@H]1c1c(ncn-21)C(=O)OCC(F)(F)F,,,,,,,,,6.863279433,
[O-][N+](=O)c1ccc(N2CCOCC2)c(c1)C(=O)N1CCN(CC1)c1ccc(cc1F)C#N,,,7.522878745,5.366531544,,,,,,
C[C@]12CC(=O)[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC\C2=C/C#N,,,,,6.300162274,,,,,
OC(=O)c1nc2n(n1)c1ccc(Cl)cc1[nH]c2=O,,,,,,,,,,
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O,,,,,,,,,,
CN1Cc2c(ncn2-c2ccc(cc2C1=O)[N+]([O-])=O)C(=O)OC(C)(C)C,,,,,,,7.886056648,7.301029996,8.455931956,7.522878745
C(COc1nn2c(nnc2c2ccccc12)-c1ccccc1)Cc1ccccc1,,,,,,,6.522878745,6.37675071,,6.37675071
OC(=O)CCCn1nc(ccc1=N)-c1ccc(OCc2ccccc2)cc1,,,,,7.958607315,,,,,
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cccc(c2)-c2ccccc2)cc1,,5.537602002,,,,,,,,
O=C1N2[C@H]3[C@H]4[C@H]5C[C@@H]6N(CC[C@]36c3ccccc23)CC5=CCO[C@H]4\C1=N/OCCc1ccccc1,,,,,,,,,,
COc1cc(cc(SC)c1C(=O)N[C@@]1(CCCN(C)C1)c1ccccc1)C(F)(F)F,,,6.744727495,,,,,,,
CCOC(=O)c1ncn-2c1Cc1cnc(nc1-c1ccccc-21)C(C)C,,,,,,,,,8.050609993,
Cn1ncnc1COc1nn2c(nncc2c1-c1ccccc1F)-c1c(F)ccc(F)c1F,,,,,,,,8.568636236,,8.568636236
O=c1cc(o[nH]1)C1CCNCC1,,,,,,,4.958607315,,,
O=c1n([nH]c2c3CCCCc3ncc12)-c1ccc(OC2CCC2)cc1,,,,,,,8.886056648,8.585026652,,8.585026652
O=c1[nH]oc(C2CCNCC2)c1-c1ccsc1,,,,,,,7.119186408,,,
