smiles,pEC50_GluN_e2z1_rat,pEC50_GluN_e3z1_rat,pEC50_GlyT1_human,pEC50_GlyT2_human,pIC50_GABAa1b2g2_human,pEC50_GluA_human,pKi_GABA_a1b3g2_human,pKi_GABA_a2b3g2_human,pKi_GABAa5b3g2_human,pKi_GABA_a3b3g2_human
Cc1nc(no1)-c1ncn-2c1Cn1ncnc1-c1cc(F)ccc-21,,,,,,,,,9.698970004,
O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c1ccccc61,,,,,,,,,,
CC(C)Sc1sc(-c2cc[nH]n2)c2CC(C)(C)CC(=O)c12,,,,,,,8.301029996,7.920818754,8.698970004,8.15490196
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccc(cc21)C(C)(C)C,,,,,,,8.555955204,8.049148541,8.125518182,7.610833916
CC(CNS(C)(=O)=O)c1ccc(cc1)-c1ccsc1,,,,,,5.346787486,,,,
CC(C)(C)OC(=O)c1ncn-2c1C1CCCN1C(=O)c1c(Br)cccc-21,,,,,,,,8.886056648,,
Cc1cccc2c(OCc3ccccn3)nn3c(nnc3c12)-c1ccccc1,,,,,,,8.920818754,8.744727495,9.075720714,9.431798276
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cccc(c2)C(F)(F)F)cc1,,5.619788758,,,,,,,,
Cc1cccc(COc2nn3c(nnc3c3ccccc23)C2CC2)n1,,,,,,,7.494850022,8.013228266,9.036212173,8.508638306
CC(C)(C)c1ccc(cc1)-c1c(o[nH]c1=O)C1CCNCC1,,,,,,,6.590066877,,,
CC(C)c1noc(n1)-c1ncn-2c1[C@@H]1CCCN1C(=O)c1cc(ccc-21)C#C,,,,,,,7.13667714,7.070581074,8.318758763,7.013228266
Cn1ncnc1COc1nn2c(nncc2c1-c1ccccc1F)-c1cc(F)ccc1F,,,,,,,,8.886056648,,8.886056648
NCCCP(=O)=O,,,,,,,,5.113509275,,
COc1ccc(OCC2N(CCc3cc(OC)ccc23)C(=O)c2cccc(c2)C(C)=O)cc1,,4.677780705,,,,,,,,
Clc1ncn-2c1Cn1cnnc1-c1cc(ccc-21)C#N,,,,,,,,,7.596879479,
O=c1[nH]oc(C2CCNCC2)c1-c1ccccc1,,,,,,,6.798602876,,,
Cc1ncn-2c1Cn1ncnc1-c1cc(OC(F)(F)F)ccc-21,,,,,,,,,7.301029996,
CC(CNS(C)(=O)=O)c1ccc(cc1)C(C)(C)C,,,,,,5.920818754,,,,
CCOC(=O)c1[nH]cc2nc3ccc(OCc4ccc5ccccc5c4)cc3c2c1COC,,,,,,,7.823908741,6.53313238,6.490797478,6.53313238
Cn1ncnc1COc1nn2c(nncc2c1-c1cccc(CO)c1)-c1ccccc1F,,,,,,,,8.180456064,,8.180456064
Cc1csc(n1)-c1cc(-c2ccncc2)c2-c3cnccc3CCCn2c1=O,,,,,,,8.886056648,9.301029996,,9.301029996
Cc1nnc2c3ccccc3c(OCc3ccccn3)nn12,,,,,,,6.045757491,6.327902142,7.537602002,7.091514981
CCCC1CNC(=O)C11CCN(CC1)C1(CCCCC1)c1cccs1,,,6.640164518,,,,,,,
CC(C)(C)OC(=O)c1cc2c(cn1)n(C(=O)OC(C)(C)C)c1ccc(cc21)C#C,,,,,,,6.346787486,5.301029996,5.301029996,
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)-c1ccc(C)cc1,,,,,,6.568636236,,,,
COC(=O)c1cc(-c2ccc(OC)cc2)c(-c2ccccn2)n(C)c1=O,,,,,,,,6.292429824,,6.292429824
COC(=O)c1ccc(cc1)C1N(CCc2c[nH]c3cc(Cl)ccc23)C(=O)C(O)=C1C(=O)c1cccnc1,,5.070581074,,,,,,,,
COc1ccc(OC)c(c1)-c1c(F)ccc2c(N)c(nnc12)C(=O)NC1CCC1,,,,,,,,8.449771647,,
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](CC[C@]34C)OC(=O)CCCC(O)=O)[C@@H]1CCC2=O,3.819874125,,,,,,,,,
c1ccncc1.CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OS(O)(=O)=O,4.663540266,,,,,,,,,
CCCCNC(=O)c1nnc2c(cccc2c1N)-c1cc(OC)ccc1OC,,,,,,,,7.819874125,,
COc1ccc(OC[C@@H]2N(CCc3cc(OC(C)C)ccc23)C(=O)c2cccc(Cl)c2)cc1,,6.148741651,,,,,,,,
CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC,,,,,,,,7.974694135,,
FC(F)(F)c1ccn2c(cnc2n1)-c1ccnc(n1)-c1ccccc1C#N,,,,,,,9,8.853871964,,8.853871964
Fc1ccccc1-c1cc(cnn1)-c1ccc(F)c(c1)-c1ncccc1F,,,,,,,,9.045757491,9.301029996,9.045757491
CCc1c(C#N)c(c(C(O)=O)n1C)-c1ccc(cc1)-c1cccc(c1)C#N,,,,,,6.199970641,,,,
Cn1nc(O)c(n1)C(N)C(O)=O,3.966576245,4.045757491,,,,,,,,
C(Oc1nn2c(nnc2c2ccccc12)-c1ccccc1)c1cccnn1,,,,,,,9.086186148,9.431798276,9.823908741,9.431798276
CN1Cc2c(ncn2-c2ccc(cc2C1=O)C#C)C(=O)OCCCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(ccc-21)C#C,,,,,,,,6.066512712,7.823908741,6.066512712
Cc1ccc(COc2nn3c(nnc3c3C4CCC(CC4)c23)-c2ccccc2)nc1,,,,,,,7.251811973,7.769551079,8.920818754,7.823908741
CSc1sc(c2CC(C)(C)CC(=O)c12)-c1cccnc1,,,,,,,6.782516056,7.508638306,8.236572006,7.48148606
CCCNC(=O)c1nnc2c(cccc2c1N)-c1ccc(C)cc1C,,,,,,,,8.48945499,,
CC(C)(O)c1ccn2c(cnc2n1)-c1ccc(F)c(c1)-c1ccccc1C#N,,,,,,,9.148741651,9.327902142,,9.327902142
C[C@@]12CCC[C@H]1[C@@H]1CC=C3C[C@H](CC[C@]3(C)[C@H]1CC2)OC(=O)CCCCC(O)=O,5.552841969,,,,,,,,,
CN1Cc2c(ncn2-c2ccc(cc2C1=O)C#C)C(=O)OC(C)(C)C,,,,,,,7.568636236,7.580044252,9.397940009,7.721246399
OC(=O)c1nc2n(n1)c1ccccc1[nH]c2=O,,,,,,,,,,
Cc1ncn-2c1Cn1ncnc1-c1cc(I)ccc-21,,,,,,,,,8.356547324,
Clc1ncn-2c1Cn1ncnc1-c1cc(NC(=O)C3CC3)ccc-21,,,,,,,,,7.795880017,
C(Oc1nn2c(nnc2c2ccccc12)-c1ccccc1)c1ccccn1,,,,,,,8.568636236,8.769551079,9.48148606,9.148741651
NC(Cc1o[nH]c(=O)c1Br)C(O)=O,,,,,,3.694648631,,,,
Cc1ncn-2c1Cn1ncnc1-c1cc(ccc-21)C(F)F,,,,,,,,,8.657577319,
Nc1ccc2N3[C@H]4[C@@H]5[C@H](CC3=O)OCC=C3CN6CC[C@]4([C@@H]6C[C@H]53)c2c1,,,,,,,,,,
