smiles,pKi_hm,pKi_hd,pKi_hk,pEC50_hm,pEC50_hd,pEC50_hk
CNC(=O)CN1C(=O)N(C2CCN(CC2)C3CCC(C)(C)CC3)c4ccccc14,6.549750892,,,,,
COc1ccccc1CNc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CC6)c3c2,8.920818754,6.795880017,8.886056648,,,
CCCCCCN1CCC(CC1)(C(=O)N(C)CC)c2cccc(O)c2,8.356547324,,,7.698970004,,
CCN(CC)C(=O)c1ccc(cc1)C(N2CCN(CC=C)CC2)c3ccccc3,,,,,7.48148606,
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CCCCNC(=O)C[C@H](NC(=O)[C@H](Cc3ccc(F)cc3F)NC(=O)[C@H](Cc4ccccc4)NC2=O)C(=O)N,,,,8.200659451,6.899629455,8.30980392
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CC6=C4N(C)C(=O)CC6)c35,8.920818754,8.026872146,7.698970004,7.096910013,7.585026652,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NC(=O)\C=C\c7ccc(Cl)cc7,9.602059991,8.795880017,8.853871964,,,
CCO[C@@H](C)[C@@H]1CC23C=C[C@]1(OC)[C@H]4Oc5c(O)ccc6CC2N(C)CCC34c56,,8.15490196,,7.853871964,7.236572006,6.252588192
Cc1cc(O)cc(C)c1C[C@H]([NH3+])[C@@H](O)C\C=C\[C@H](O)[C@@H](Cc2ccccc2)C(=O)OCCc3ccccc3,9.619788758,7.251811973,,8.37675071,,
CN([C@@H]1CC[C@@]2(O)[C@H]3[C@@H](O)c4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)\C=C\c7cccs7,,,,5.312471039,,11.33161408
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)NCc2cc(Cc3ccccc3)ccc2OCc4ccccc4.OC(=O)C(F)(F)F,,,6.240332155,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NCCc7ccc(Cl)cc7,8.886056648,7.468521083,7.886056648,,,
COc1ccc(NC(=O)COc2ccccc2C(=O)NCC(N(C)C)c3ccccc3)cc1Cl,,,,,5.009128595,
CN(C)C1(Cc2ccccc2)CCN(CC1)c3cc(ccc3CNC(=O)Nc4cccc5C(=O)NC=Cc45)C(F)(F)F,6.978810701,,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2CC3(O)CCC3)c4ccc(nc4)C#N)c5ccccc5,7.30980392,,,,,
CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCOCC3)Oc4ccccc24,,5.853871964,,,,
CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccn1)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)C)C(=O)NCC(=O)N,,7.207608311,,,,
NC(=O)c1ccc2N(CCCc2c1)c3ccc(CNCCC4CCOCC4)cc3,6.899629455,6.500312917,6.600326279,,,
CCN(CC)C(=O)c1ccc(cc1)C2(CCCN(Cc3nccs3)C2)c4cccc(c4)C(=O)N,,8.15490196,,,,
CC(c1ccccc1)n2ccnc2C3(CCN(CC3)C(=O)Nc4ccccc4)c5ccccc5,6.303643611,7.366531544,,,,
CNC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4,,,5.856360765,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2CC3CCC3)c4ccc(cc4)C#N)c5ccccc5,6.488116639,,,,,
CCOC(=O)C1=Nc2ccccc2N([C@H]3C[C@H]4CCC[C@@H](C3)N4C(C)CC(C)C)C1=O,6.795880017,5.543178652,7.068542129,,,
Cl.Cl.C[C@@H]1CN(CCCc2ccccc2)[C@H]3C[C@@H](C[C@@]1(C3)c4cccc(O)c4)NCC5CC5,8.119186408,7.366531544,7.853871964,6.886056648,,
CO[C@]12CC[C@@]3(C[C@@H]1CNC(=O)[C@@H](N)CC(=O)O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,8.310691141,7.218963061,8.515700161,,,
CC(N1CCC(CC1)N2C(=O)Nc3ccc(Cl)cc23)c4ccc(Br)cc4,,,,8.698970004,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)N3CCC(CC3)C(=O)N)C(=O)N2CC4CC4)c5ccccc5,6.619788758,,,,,
CC(C)[C@@H]1CC[C@@H](CC1)N2CCC3(CC2)[C@@H]4CN(C[C@@H]4CN3c5ccccc5)c6ccccc6,6.869666232,6.659555885,6.289882635,,,
COc1ccc(CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(C[C@H](C)O)C2=O)cc1,7.070581074,,,,,
NC(=O)C1=Nc2ccccc2N([C@H]3C[C@H]4CC[C@@H](C3)N4C5CCCCCCC5)C1=O,6.086716098,4.597738618,6.812479279,,,
CN([C@@H](CN1CCCC1)c2cccc(NC(=S)Nc3ccc(C4=C5C=CC(=O)C=C5Oc6cc(O)ccc46)c(c3)C(=O)O)c2)C(=O)Cc7ccc(Cl)c(Cl)c7,,7.065501549,,,,
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)NNC(=O)[C@H](Cc4cccc5ccccc45)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc6ccc(O)cc6,,8.193820026,,,,
CCC(=O)N1C[C@H]2[C@@H](CC[C@@H]1CN2C(=O)Cc3ccc(Cl)c(Cl)c3)N4CCCC4,6.187086643,,6.920818754,,,5.744727495
CCCCN1CCC2(CCC(Cc3ccccc3)(CC2)N(C)C)C1,8.346787486,,,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@]7(CC[C@@]36C[C@@H]7COCc8ccc(cc8)C(O)CO)OC,7.260981754,6.286274313,8.560667306,7.218388218,6.783227302,6.805485658
CCCn1c2[C@@H]3Oc4c(O)ccc5CC6N(CC7CC7)CCC3(c45)[C@@]6(O)Cc2c8ccccc18,,9.356547324,,,,
CN(CC=C)C1CCc2ccc(O)cc2C1(C)C,5.966576245,5.653647026,6.580044252,,,
CCCN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c(cn(Cc7ccccc7)c46)c8ccccc8)c35,7.397940009,7.677780705,6.718966633,,,
Cc1ccc(cc1)C(=O)Nc2nc3ccccc3[nH]2,,,,,,5.698970004
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)N3CCC[C@H]3C(=O)N)C(=O)N2CC4CCC4)c5ccccc5,7.32330639,,,,,
Fc1ccc(CSc2nnc(c3ccccn3)n2Cc4cccs4)c(F)c1F,,,,,,5.517126416
Cl.Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc8ccsc8c7,,8.698970004,,,,
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc4ccccc24)c(C)c1,5.468521083,8.619788758,6.408935393,,6.443697499,
COc1ccc(CN2CCN(CC2)c3ccccn3)c(OC)c1,,,,4.033999142,,
C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4ccsc4,,,,7.886056648,,
CN(C)[C@@]1(C[C@@]2(CN(C(=O)N2)c3cnc(cc3C)N4CCOCC4)C1)c5ccccc5,5.229884705,,,,,
Cc1cc(ccc1CNC2Cc3ccccc3C2)N4CCCc5cc(ccc45)C(=O)N,8.102372909,6.801342913,6.801342913,,,
OC(=O)[C@@H](NC(=O)C1=Nc2ccccc2N([C@H]3C[C@H]4CCC[C@@H](C3)N4C5CCCCCCC5)C1=O)c6ccccc6,6.353596274,6.974694135,7.197910742,,,
CN(C)C1(Cc2ccccc2)CCC(CC1)(N(C)C)c3ccccc3,7.09420412,,5.426548178,,,
COCCCN1C(=O)N(CC(=O)NC[C@@H]2C[C@H](O)C2)C[C@@]13CC[C@](CC3)(N(C)C)c4ccccc4,6.815308569,,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)NCCC#N)C(=O)N2CC3CCC3)c4ccccc4,7.590066877,,,,,
CC(Sc1nnc(CN2CCCC2)n1Cc3ccccc3)C(=O)Nc4ccc(F)cc4,,,,,,5.417542995
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C6(CC[C@@]35C[C@]6(C)COCc7cocc7)OC,,,,6.395773947,,
CC(C)C1CCC(CC1)N2CCC3(CC2)C(=O)N(C)Cc4ccccc34,6.322393047,,6.254144805,,,
CN([C@H](CN1CC[C@H](O)C1)c2ccccc2)C(=O)C3CCc4cc(ccc4O3)S(=O)(=O)N,,,8.48148606,,,
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CC[C@]46O[C@H]7N8[C@H](OC7(C)C)C(C)(C)O[C@H]68)c35,,,,8.22184875,,
FC1(F)CCN(C1)S(=O)(=O)c2ccccc2c3ccc(CNC4CCOCC4)cc3,5.996970529,,7.48148606,,,
O=C1CN(C2CCN(CC2)C3CCCCCCC3)c4ccccc4N1,5.170181813,5.014573526,7.078313525,,,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NC(=O)CCCc7ccc(Cl)cc7,8.886056648,8.408935393,8.522878745,,,
CC(=O)N1CC[C@@H](NC(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)c3cc(CN4CCc5ccccc5C4)ccc13.OC(=O)C(F)(F)F,,,9.107905397,,,6.721246399
COc1ccc(CN2CCC[C@@H]2CNC(=S)N3Cc4ccccc4C[C@H]3CNC(=O)Nc5ccccc5)cc1O,7.744727495,,,,,
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc2ccccc2)C(=O)N[C@H](CCCCN)C(=O)NCC(=O)NCCSC3CC(=O)N(CCC(=O)NCCOCCOCCC(=O)Nc4ccc(CCC(=O)N5CCC5=O)cc4)C3=O,,,,,,5.829738285
COc1cc(ccn1)C(=O)N[C@@H]2CC[C@@]3(O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,9.22184875,6.795880017,9.337242168,8.102372909,,
N[C@@H](Cc1ccc(O)cc1)C(=O)N2Cc3ccccc3C[C@H]2C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccccc5)C(=O)O,,8.920818754,,,,
COc1ccccc1CNc2ccc3C[C@@H]4[C@@H]5C=C[C@H](O)[C@@H]6Oc2c3[C@]56CCN4C,8.070581074,,6.657577319,6.677780705,,
CCc1ccc(Nc2n[n+](c3ccccc3)c(s2)c4c(Cl)cccc4Cl)cc1,,,,,4.848967418,
CO[C@]12CC[C@@]3(C[C@@H]1COCc4ccccc4)[C@H]5Cc6ccc(C#N)c7O[C@@H]2[C@]3(CCN5C)c67,6.83283041,5.430606191,8.754487332,6.598409928,,7.062983893
COCCOCCOCCOCCOCCOC[C@H]1C[C@]23CC[C@]1(OC)[C@@H]4Oc5c(OC)ccc6C[C@H]2N(CC7CC7)CC[C@@]34c56,6.665666903,5.257270157,7.327348077,,,6.08785237
COc1ccc(CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CC5(O)CCCC5)C2=O)cc1,8.040958608,,,,,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7ccc(Br)cc7,9.055517328,8.657577319,9.537602002,8.346787486,9.698970004,10
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3cnc(N4CCOCC4)c(c3)C#N)c5ccccc5,5.400116928,,,,,
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cc(F)c(F)cn5,7.13076828,,,,,
CNc1ccc(cc1)[C@H]2C[C@]34CC[C@]2(OC)[C@@H]5Oc6c(OC)ccc7C[C@H]3N(CC8CC8)CC[C@@]45c67,,,7.698970004,,,
Clc1ccc(CN2CCC(CC2)N3C(=O)Nc4ccccc34)cc1,,,,5.115998075,,
CN(CC1CCN(CC(C)(C)O)CC1)[C@H]2[C@H]3Cc4ccc(O)cc4[C@@]2(C)CCN3C,,,8.673664139,,,
COC12CC[C@@]3(C[C@@H]1CNC(=O)Nc4ccccc4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,,,10.09691001,,,
Clc1ccc2OC(=O)N(CC(=O)N3CCCC(C3CN4CCOCC4)c5ccccc5)c2c1,,,,,,5.886056648
Oc1cccc(c1)[C@]23CCC[C@H](C2)N(C[C@@H]4C[C@H]4c5ccccc5)CC3,7.327902142,6.096910013,6.408935393,,,
Clc1cc2OCC(=O)N(CC(=O)N3CCCC(C3CN4CCOCC4)c5ccccc5)c2cc1Cl,,,,,,5.102372909
Oc1ccc2CC3N(CC4CC4)CCC56[C@@H](Oc1c25)c7c(C[C@@]36O)c8ccccc8n7Cc9cccc(c9)N=C=S,,8.37675071,,,,
COc1ccc2C[C@H]3N(C)CC[C@@]4(C[C@]5(CC[C@@]34O)NC(=O)NC5=O)c2c1,5.411603907,,,,,
CC(C)CNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3,8,,8.920818754,,,
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cc(Br)oc4Br,,,,,,6.619788758
NC(=N)c1ccc(Oc2ccc(CNCCc3ccccc3)cc2)nc1,7.677780705,6.66756154,5.940058112,,,
CC1(C)CC(=O)C2=C(C1)OC3=C(C2c4ccc(OCc5ccccc5OC(F)(F)F)cc4)C(=O)CC(C)(C)C3,,,,5.698970004,6.522878745,
CCOC(=O)C[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(OC)cc4[C@@]2(CCN3C)CC1=O,,,,4.937455619,,
O=C1CCNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H]5CCCN15,8.387216143,,,,,
COc1ccccc1CNCCc2cc(OC)c(I)cc2OC,7.086186148,,6.540607512,,,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](CC[C@@]36O)NC(=O)c7cccnc7,9.853871964,6.716698771,8.26760624,9.48148606,,
CCN(CC)C(=O)c1ccc(Cn2ccnc2C3(CCN(CC3)C(=O)c4ccccc4)c5ccccc5)cc1,,6.801342913,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(C)(C)C(=O)N)C(=O)N2CC3CC3)c4ccccc4,6.318758763,,,,,
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56C(Oc1c25)C(=O)CC[C@@]36OCCCc7ccccc7,10.21467016,,,,,
COc1cc(Br)cc(CN2CCN(CC2)c3ncccn3)c1O,,,,4.033999142,,
CS(=O)(=O)NC1CCN(CC1)C2=Nc3ccccc3N(C4CCN(CC4)C5CCCCCCC5)C2=O,5.722390786,4.209728914,6.4225082,,,
COC(=O)[C@@H]1C[C@@H](Br)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4,,,7.373659633,,,6.549750892
CCOc1ccccc1N2CCN(CCC(=O)N3C(Cc4ccccc34)C(=O)N(C)C)CC2,7.525783736,,,,,
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@]6(CC[C@@]35C[C@@H]6CSc7nc8ccccc8s7)OC,6.827251161,6.497736796,7.342084063,6.298708394,6.255253397,6.238982278
Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4C[C@@H]6CCCO6)cc2s1,8.619788758,7.251811973,9.080921908,7.148741651,,7.853871964
OCC(O)CNC1=Nc2ccccc2N([C@H]3C[C@H]4CC[C@@H](C3)N4C5CCCCCCC5)C1=O,6.404173223,4.660349842,6.649751982,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]5(CC6(CC[C@@]35OC6)NS(=O)(=O)c7ccc(Cl)cc7)c2c1,9.537602002,,10.24412514,,,
C[C@H]1[C@@H]2CC[C@@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4,7.13667714,6.721246399,7,,,
CC(=O)NCC1(C[C@@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5,6.427128398,,,,,
OC(=O)[C@@H]1CCCN1C2=Nc3ccccc3N([C@H]4C[C@H]5CCC[C@@H](C4)N5[C@H]6C[C@@H]7CCC[C@@H](C7)C6)C2=O,6.036684489,,7.420216403,,,
COc1cc(C[C@H](N)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N)cc(OC)c1O,8.356547324,4.973875483,5.348915911,8.102372909,,
CC(=O)C(N)CCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)[C@@H](N)Cc4ccc(O)cc4)C(=O)O,,7.552841969,,,,
COCCN1C(=O)N(CC(=O)Nc2ccncn2)C[C@@]13CC[C@](CC3)(N(C)C)c4ccccc4,6.070581074,,,,,
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccc(N)cn5,6.688246139,,,,,
CNC(=O)CN(C)C(=O)CN1C[C@@]2(CC[C@](CC2)(N(C)C)c3ccccc3)N(CCCOC)C1=O,6.361510743,,,,,
CN(C)[C@@]1(C[C@@]2(CN(C(=O)N2CC3CC3)c4ccc(OC(F)(F)F)cn4)C1)c5ccccc5,7,,,,,
CN1CCC23C4Oc5c(O)ccc(CC1C2(O)Cc6cnc(nc46)c7ccccc7)c35,8.13667714,8.187086643,7.346787486,7.236572006,7.619788758,5.847405922
Fc1ccc(cc1)C2(CCNCc3ccccc3)CCOC4(CCCCC4)C2,,,,6.400116928,,
Clc1ccccc1C(N2[C@@H]3CC[C@H]2C[C@H](C3)c4ncccn4)c5ccccc5Cl,5.929962133,,,,,
O=C1N(C2CCN(CC2)C3CCCCCCC3)c4ccccc4N=C1N5Cc6ccccc6C5,4.574677762,3.263007051,4.93930216,,,
CO[C@@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,9.292429824,8.346787486,9.096910013,,,
OC1=C(C[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)N7CCCC7,8.397940009,8.13076828,,,,
CSc1ccc(CN(CCO)Cc2ccc(s2)c3ccn[nH]3)cc1,,,5.522878745,,,
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CSC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)CNC2=O)C(=O)O,8.638272164,9.200659451,5.193820026,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2CC3CC3)c4ccc(cc4F)S(=O)(=O)C)c5ccccc5,6.93930216,,,,,
COC(=O)[C@@H]1C[C@H](OCSC)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4,,,7.886056648,,,7.508638306
Oc1cccc2c1O[C@H]3C(=O)CC[C@H]4CN(CC5CC5)CC[C@]234,,8.657577319,,,,
Cc1c(oc2ccc(Cl)cc12)C(=O)NCC(N3CCCC3)c4occc4,,,6.289882635,,,
CCN1[C@@H]2CCCC[C@H]2N(C3CCN(Cc4ccc5ccccc5c4)CC3)C1=O,6.701146924,,,,,
CN(C)C1(CCN(CC1)C2=Nc3ccccc3N([C@H]4C[C@H]5CC[C@@H](C4)N5C6CCCCCCC6)C2=O)C(=O)O,5.411504199,4.725426536,6.991399828,,,
Fc1ccc2[nH]c(CN3CCN(CC3)c4ccccn4)cc2c1,,,6.522878745,,,
COC(=O)[C@@H]1C[C@H](O[C@@H]2CCCCO2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5,,,8.207608311,,,
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N,6.920818754,,,,,
COC(=O)C(C)CCCCCCC(C)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1,8.769551079,7.37675071,9.026872146,,,
CC12C[C@H]3C[C@H](C[C@@H]1C[C@@H]2C3)N4[C@@H]5CCC[C@H]4C[C@H](C5)N6C(=O)C(=Nc7ccccc67)N8CCC[C@H]8C(=O)O,7.065501549,,7.292429824,,,
Cc1cccc(COc2ccc(cc2)C3C4=C(CC(C)(C)CC4=O)OC5=C3C(=O)CC(C)(C)C5)c1,,,,5.522878745,6.698970004,
CN[C@@]1(CC[C@]2(CC1)CN(CC(=O)NCCOC)C(=O)N2CC3(O)CCC3)c4ccccc4,6.397940009,,,,,
Nc1nc2cc3c(CC4[C@@H]5CCCC[C@]35CCN4CC6CC6)cc2s1,8.823908741,,10.30980392,7.13667714,,
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N,5.501689446,,5.721246399,,,
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@@H]3C(=O)N[C@@H](CCCCN)C(=O)O,,8.677780705,,,,
COC(=O)c1cccnc1NC(=O)CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CC5CCC5)C2=O,7.259637311,,,,,
CN(C)Cc1nnc(c2cccc(c2)C(C)(C)C)n1c3cccc(O)c3,,5.585026652,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3cnc(nc3)N(C)CCO)c4cccs4,5.8224635,,,,,
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)C\C(=C/c6ccccc6)\C4=O)c35,7.744727495,7.853871964,5.971835581,7.142667504,,
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)CC(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,8.522878745,8.886056648,8.795880017,8.585026652,7.301029996,
CCCC[C@H](NC(=O)[C@H](N)Cc1cc2ccccc2[nH]1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)NNC(=O)[C@H](Cc4ccccc4)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc5ccc(O)cc5,,,,,8.026872146,
CC(C)C[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC5CC5)CC1=O,,,,,,8.021363052
Fc1ccc(cc1)[C@]2(CCNCc3ccccc3)CCOC4(CCCC4)C2,,,,7.494850022,,
Cn1cc(C2CCN(CC2O)C3Cc4cccc5cccc3c45)c6cccnc16,6.769551079,,5.366531544,,,
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@H](COC(=O)C)C[C@]23C,,,6.255707017,,,6.524328812
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35,8.744727495,7.301029996,7.602059991,8.107905397,,
COc1ccc(CN2C[C@@]3(CC[C@](CC3)(N(C)C)c4ccccc4)N(CC(=O)NC5(CC5)C#N)C2=O)cc1,7.387216143,,,,,
N[C@H]([C@@H]1CCN1C(c2ccccc2)c3ccccc3)c4ccc(Oc5ccccc5)cc4,5.267525823,5.112270203,5.557206774,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)NCC3(O)CCCCC3)C(=O)N2CC4CCC4)c5ccccc5,7.576754126,,,,,
CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCCCNC(=O)NCCC(=O)N(C5CCN(CCc6ccccc6)CC5)c7ccccc7)C(=O)O,,9.585026652,,,9.657577319,
OC(=O)C1=CC2=C(C[C@]34CCN(CC5CC5)[C@H](Cc6ccc(O)cc36)[C@]4(O)C2)NC1=O,8.507239611,7.733063089,8.818156412,,,
CCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O,6.847711656,5.508218224,5.856360765,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)NC3(CC3)C#N)C(=O)N2CC4CCC4)c5ccccc5,7.065501549,,,,,
NC(=O)c1ccc(Oc2ccc3CN(Cc4ccccc4)CCc3c2)nc1,6.747146969,5.628747371,5.66756154,,,
Oc1ccc2[C@@H]3CNCC[C@H]3[C@@H](Cc2c1O)c4ccccc4,,,3.086186148,,,
OC1(CCN(CCCC(c2ccccc2)c3ccccc3)CC1)c4ccc(Cl)c(c4)C(F)(F)F,7.15490196,5.816445466,5.876801925,,,
Oc1cccc(CCN(CCc2ccccc2)CC3CCC3)c1,6.266000713,,9.30980392,,,8.443697499
CCCCN1C(=O)N(Cc2ccc(OC)cc2)C[C@@]13CC[C@](CC3)(N(C)C)c4ccccc4,8.193820026,,,,,
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)C(=O)c4cccc(c4)C(=O)N,,,7.397940009,,,6.13667714
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)c4cccs4)[C@H]5Cc6ccc(O)c7O[C@@H]2[C@]3(CCN5CC8CC8)c67,,,8.552841969,,,
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36NCCCc7ccc(Cl)cc7,,7.508638306,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)Nc3cc(C)on3)C(=O)N2CC4CCC4)c5ccccc5,7.356547324,,,,,
CN1CCC(CC1)N(C(=O)c2cccs2)c3cccc(n3)c4ccc(F)cc4,6.522878745,,,,,
Cn1c2[C@@H]3Oc4c(O)ccc5CC6N(CC7CC7)CC[C@@]3(c45)[C@@]6(O)Cc2c8ccccc18,,10.69897,,,,
