smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1,,,,,,,,,,,,,,,,,,,,,,,9.01999662841625,,,,,,,
COc1cccc2C=C(C(=O)NCc3cn(Cc4ccccc4Cl)nn3)C(=O)Oc12,,,,,,,,,,,,,,,,,,,,,,,,,4.81191562628506,,4.01714105768793,,,
CCOP(=S)(OCC)SCc1ccc2ccccc2n1,,,,,,,,,,,,,,,,,,,,,,,,,4.81191562628506,,,,,
Clc1cccc(NC(=N)NC(=N)N2CCN(CC2)C(=N)NC(=N)Nc3cccc(Cl)c3)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35163998901907,,
CCOc1ccc(\C=N\NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1,,,,,,,,,,,,,,,,,,,,,,,4.27490547891853,,,,4.17198493577602,,4.07675598136972,4.5016894462104
COc1cc2c(ccc3c(CCNCC(C)C)cc(O)c(OC)c23)cc1O,,,,,,,,,,,,,,,,,,,,,,,,,4.20767836364843,,,,,
CN1CCC[C@H]1COC(=O)Nc2ccc(F)cc2c3cc(F)cc(Cl)c3,,,,,,,,,8.33724216831843,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Oc2cc(ncn2)N3CCC(CC3)C(=O)N4CCc5ccccc5C4)cc1,,,,,,,,,,,,,6.30016227413275,,,,,,,,,,,,,,,,,
C[C@H]1COC2=C1C(=O)OC(=O)c3c2ccc4c(C)cccc34,,,,,,,,,,,,,,,,,,,,,,,4.99430481888149,,,,,,,
COc1ccccc1CN(C)CCCCCCNC(=O)\C=C\c2ccc(O)c(OC)c2,,,,,,,,,,,,,,,,,,,,,,,,,5.07058107428571,,,,,
C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4C[C@@H]3O,,,,,,,,,,,,,,,,,,,,,,,4.6190655366693,,,,,,,
